postal,X,Y,
58469,29208.789,29467.4653,
58470,29194.0618,29495.622,
58471,29206.1154,29462.5029,
58476,29213.3541,29443.7374,
58479,29180.9217,29475.9948,
58537,NA,NA,
58556,29286.5589,29416.766,
58557,29282.2176,29419.1864,
58562,29259.0026,29431.9743,
58563,29254.3339,29434.5657,
58565,29264.4849,29464.254,
58566,29244.6272,29440.109,
58567,29259.6727,29467.0071,
58568,29239.3917,29443.0913,
58569,29254.7953,29469.8168,
58570,29234.3207,29446.3361,
58571,29249.981,29472.9504,
58573,29244.9649,29475.4701,
58575,29239.8927,29478.436,
58577,NA,NA,
58581,29183.0232,29510.6841,
58584,29163.7665,29485.8854,
58586,29158.995,29488.3476,
58588,29154.3891,29490.7683,
58590,29149.7501,29493.5511,
58591,29160.6023,29523.7861,
58592,29144.9532,29496.104,
58593,29155.8811,29526.3672,
58594,29140.1522,29498.8368,
58595,29151.1304,29529.2429,
58596,29135.3429,29501.5019,
58597,29146.4335,29532.0172,
58598,29130.6792,29504.2455,
58599,29141.8292,29534.7813,
58600,29125.8752,29506.9645,
58601,29137.2106,29537.3912,
58602,29121.1404,29509.7741,
58603,29132.562,29540.13,
58604,29116.3979,29512.4219,
58606,29111.6284,29514.795,
58607,29120.5166,29547.3022,
58608,29107.1921,29517.6162,
58610,29102.6029,29520.4019,
58611,29098.2851,29523.4672,
58613,29098.6985,29524.3021,
58615,29090.0049,29528.2107,
58617,29085.9198,29530.6572,
58657,29742.7335,30075.8959,
58658,29741.9103,30071.4138,
58659,29738.8047,30068.4763,
58660,29734.5519,30065.7411,
58661,29714.2761,30030.4549,
58665,29707.5642,30018.879,
58667,29692.6193,30066.5102,
58668,29689.9303,30061.6994,
58669,29700.4669,30002.1466,
58670,29689.6088,30055.0133,
58676,29680.8785,30040.918,
58677,29691.7785,29981.9625,
58678,29690.0058,29976.7977,
58679,29673.6946,30035.7143,
58680,29687.51,29971.5911,
58681,29684.717,29966.3378,
58682,29659.4738,30012.3317,
58684,29679.2065,29956.4304,
58685,29655.6419,30005.4245,
58686,29676.5066,29951.6695,
58687,NA,NA,
58688,29673.735,29946.9115,
58690,29646.6941,29990.2716,
58691,29670.2367,29939.5825,
58692,29643.7585,29985.3235,
58693,29665.5947,29932.703,
